nuts2_code_2016,nuts2_code_2021,change_type,n_predecessor_regions,region_name
DED5,DED5,unchanged,1,
DEE0,DEE0,unchanged,1,
DEF0,DEF0,unchanged,1,
DEG0,DEG0,unchanged,1,
DK01,DK01,unchanged,1,
DK02,DK02,unchanged,1,
PL63,PL63,unchanged,1,
PL71,PL71,unchanged,1,
PL72,PL72,unchanged,1,
HR05,HR05,unchanged,1,
HR06,HR06,unchanged,1,
NO02,NO02,unchanged,1,
NO06,NO06,unchanged,1,
NO07,NO07,unchanged,1,
NO08,NO08,unchanged,1,
NO09,NO09,unchanged,1,
NO0A,NO0A,unchanged,1,
NO0B,NO0B,unchanged,1,
